Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,City,School Number,School or Citywide Complaint,pctFemale,pctMale,pctPacIslander,pctLatino,pctAmericanIndian,pctAsian,pctWhite,pctBlack,pctOther,pctEthnicTotal,pctPermResidentAlien,pctUSCitizen,pctRecPublicAssistance
New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,11420,SOUTH OZONE PARK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,,Q2_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q3_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11214,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,Q2_pctAsian,Q2_pctWhite,Q1_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10473,BRONX,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11213,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q3_pctWhite,,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,RESIDENTIAL BUILDING,11237,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,RESIDENTIAL BUILDING,10453,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10033,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Condition,Defective Hardware,Street,10027,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q1_pctAsian,,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Sanitation,Graffiti,Graffiti,Residential,10003,NEW YORK,Unspecified,,Q3_pctFemale,,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Sanitation,Graffiti,Graffiti,Residential,10025,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Sanitation,Graffiti,Graffiti,Mixed Use,10025,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11225,BROOKLYN,Unspecified,,Q3_pctFemale,,,,,,Q3_pctWhite,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Consumer Affairs,Consumer Complaint,Damaged/Defective Goods,,11235,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q2_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Odor,3+ Family Apartment Building,10031,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Condition,Failed Street Repair,Street,11358,FLUSHING,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11369,EAST ELMHURST,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Sidewalk Condition,Sidewalk Grating - Defective,Sidewalk,11206,BROOKLYN,Unspecified,,Q1_pctFemale,Q3_pctMale,,,,,Q3_pctWhite,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10472,BRONX,Unspecified,,,,,,,,,,,,,,
Department of Sanitation,Graffiti,Graffiti,Comercial,10035,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Sanitation,Graffiti,Graffiti,,10029,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,,,,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Sanitation,Graffiti,Graffiti,Residential,11207,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,DOORS,RESIDENTIAL BUILDING,11203,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,DOORS,RESIDENTIAL BUILDING,11203,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,DOORS,RESIDENTIAL BUILDING,11428,QUEENS VILLAGE,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Traffic,Truck Route Violation,Street/Sidewalk,11363,LITTLE NECK,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10465,BRONX,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q2_pctLatino,,Q1_pctAsian,Q1_pctWhite,Q1_pctBlack,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,10462,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q2_pctUSCitizen,Q3_pctRecPublicAssistance
New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,11215,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Broken Muni Meter,Coin or Card Did Not Register,Street,10002,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q3_pctAsian,Q1_pctWhite,,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Housing Preservation and Development,PLUMBING,BATHTUB,RESIDENTIAL BUILDING,10458,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,PLUMBING,BATHTUB,RESIDENTIAL BUILDING,11423,HOLLIS,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,PLUMBING,BATHTUB,RESIDENTIAL BUILDING,11210,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q3_pctWhite,,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Health and Mental Hygiene,Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery,11211,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Parks and Recreation,Dead Tree,Dead/Dying Tree,Street,11357,WHITESTONE,Unspecified,,,,,,,,,,,,,,
Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,Street,11369,EAST ELMHURST,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Drinking,In Public,Street/Sidewalk,11235,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q2_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Transportation,Street Light Condition,Street Light Cycling,,11215,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Out,,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Lamppost Base Door/Cover Open,,11217,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11354,FLUSHING,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,,Q2_pctOther,Q3_pctEthnicTotal,Q3_pctPermResidentAlien,,
Department of Environmental Protection,Water System,Hydrant Running Full (WA4),,10455,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,,,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11414,HOWARD BEACH,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Sewer,Catch Basin Sunken/Damaged/Raised (SC1),,11355,FLUSHING,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Sewer,Street Flooding (SJ),,11354,FLUSHING,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,,Q2_pctOther,Q3_pctEthnicTotal,Q3_pctPermResidentAlien,,
Department of Environmental Protection,Water System,Hydrant Running Full (WA4),,10467,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,Q1_pctAmericanIndian,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11355,FLUSHING,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,10468,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,Q1_pctAsian,,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Environmental Protection,Water System,Hydrant Running Full (WA4),,10301,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Water System,Hydrant Running Full (WA4),,11368,CORONA,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q2_pctLatino,,Q1_pctAsian,Q1_pctWhite,,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,
Department of Environmental Protection,Sewer,Street Flooding (SJ),,11354,FLUSHING,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,,Q2_pctOther,Q3_pctEthnicTotal,Q3_pctPermResidentAlien,,
Department of Environmental Protection,Water System,Hydrant Running Full (WA4),,11208,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Sewer,Street Flooding (SJ),,11354,FLUSHING,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,,Q2_pctOther,Q3_pctEthnicTotal,Q3_pctPermResidentAlien,,
Department of Environmental Protection,Sewer,Street Flooding (SJ),,,,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Sewer,Street Flooding (SJ),,,,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Sewer,Street Flooding (SJ),,11355,FLUSHING,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Sewer,Street Flooding (SJ),,11355,FLUSHING,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Water System,Hydrant Running (WC3),,10457,BRONX,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Sewer,Street Flooding (SJ),,11354,FLUSHING,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,,Q2_pctOther,Q3_pctEthnicTotal,Q3_pctPermResidentAlien,,
Department of Environmental Protection,Sewer,Street Flooding (SJ),,11101,LONG ISLAND CITY,Unspecified,,,Q3_pctMale,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Environmental Protection,Sewer,Street Flooding (SJ),,11355,FLUSHING,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Noise,Noise: Private Carting Noise (NQ1),,11231,BROOKLYN,Unspecified,,,,,,,,,,,,,,
BCC - Queens East,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11355,FLUSHING,Unspecified,,,,,,,,,,,,,,
Department of Buildings,Special Projects Inspection Team (SPIT),Contrary To LL 58/87(Handicapped Access),,11203,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Buildings,General Construction/Plumbing,Building Permit - None,,11218,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Buildings,General Construction/Plumbing,Building Permit - None,,11218,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11208,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,PLUMBING,BATHTUB,RESIDENTIAL BUILDING,11233,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q2_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,PLUMBING,BATHTUB,RESIDENTIAL BUILDING,10029,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,,,,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,PLUMBING,BATHTUB,RESIDENTIAL BUILDING,10467,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,Q1_pctAmericanIndian,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Parks and Recreation,Maintenance or Facility,Garbage or Litter,Street/Curbside,11218,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Environmental Protection,Water System,Hydrant Locking Device Request (Use Comments) (WC5),,11221,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11201,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10036,NEW YORK,Unspecified,,Q3_pctFemale,,,,,Q2_pctAsian,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q3_pctRecPublicAssistance
Department of Consumer Affairs,Consumer Complaint,Non-Delivery Goods/Services,,11234,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,,Q2_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10003,NEW YORK,Unspecified,,Q3_pctFemale,,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11225,BROOKLYN,Unspecified,,Q3_pctFemale,,,,,,Q3_pctWhite,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,Street,11101,LONG ISLAND CITY,Unspecified,,,Q3_pctMale,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,RESIDENTIAL BUILDING,11421,WOODHAVEN,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,RESIDENTIAL BUILDING,10453,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,RESIDENTIAL BUILDING,10034,NEW YORK,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Vending,Unlicensed,Store/Commercial,11102,ASTORIA,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10014,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11433,JAMAICA,Unspecified,,,,,,,,,,,,,,
Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Sidewalk Consultation,Street,11229,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q1_pctAsian,,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Transportation,Street Condition,Plate Condition - Noisy,Street,11230,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10459,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,Q2_pctPermResidentAlien,Q2_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Transportation,Street Light Condition,Multiple Street Lights Out,,11421,WOODHAVEN,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Traffic Signal Condition,Sway Bar,,11377,WOODSIDE,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Traffic Signal Condition,LED Lense,,11433,JAMAICA,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Traffic Signal Condition,Pedestrian Signal,,11433,JAMAICA,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Traffic Signal Condition,Support Bracket,,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Traffic Signal Condition,Veh Signal Visor,,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Traffic Signal Condition,Base Door,,11378,MASPETH,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Traffic Signal Condition,Pedestrian Signal,,11429,QUEENS VILLAGE,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Traffic Signal Condition,Veh Signal Lamp,,11377,WOODSIDE,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Traffic Signal Condition,Veh Signal Lens,,11372,JACKSON HEIGHTS,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q3_pctLatino,,,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Transportation,Traffic Signal Condition,Base Door,,11369,EAST ELMHURST,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Traffic Signal Condition,Base Door,,11432,JAMAICA,Unspecified,,Q3_pctFemale,,,,,Q2_pctAsian,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Transportation,Traffic Signal Condition,LED Pedestrian Unit,,11101,LONG ISLAND CITY,Unspecified,,,Q3_pctMale,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Transportation,Traffic Signal Condition,Controller,,11374,REGO PARK,Unspecified,,,Q3_pctMale,,,,,Q2_pctWhite,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Transportation,Traffic Signal Condition,Controller,,11374,REGO PARK,Unspecified,,,Q3_pctMale,,,,,Q2_pctWhite,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Transportation,Traffic Signal Condition,Veh Signal Lamp,,11374,REGO PARK,Unspecified,,,Q3_pctMale,,,,,Q2_pctWhite,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Transportation,Traffic Signal Condition,Veh Sgnl Mult Lamps,,11374,REGO PARK,Unspecified,,,Q3_pctMale,,,,,Q2_pctWhite,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Transportation,Traffic Signal Condition,Controller,,11374,REGO PARK,Unspecified,,,Q3_pctMale,,,,,Q2_pctWhite,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Transportation,Traffic Signal Condition,Post,,11374,REGO PARK,Unspecified,,,Q3_pctMale,,,,,Q2_pctWhite,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Transportation,Traffic Signal Condition,Controller,,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Traffic Signal Condition,Controller,,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Traffic Signal Condition,Controller,,11414,HOWARD BEACH,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Traffic Signal Condition,Controller,,11417,OZONE PARK,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Traffic Signal Condition,Controller,,11414,HOWARD BEACH,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,10454,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,Q1_pctAsian,,Q2_pctBlack,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Environmental Protection,Water System,Hydrant Running Full (WA4),,11215,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Noise,Horn Honking Sign Requested (NR9),,11219,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,,,,Q3_pctWhite,,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Environmental Protection,Water System,Hydrant Running Full (WA4),,11368,CORONA,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q2_pctLatino,,Q1_pctAsian,Q1_pctWhite,,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,
Department of Environmental Protection,Water System,Hydrant Running (WC3),,11373,ELMHURST,Unspecified,,Q3_pctFemale,,,,,,Q3_pctWhite,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11233,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q2_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,Street,10021,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11373,ELMHURST,Unspecified,,Q3_pctFemale,,,,,,Q3_pctWhite,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11209,BROOKLYN,Unspecified,,,,,,,,,,,,,,
P - Queens,Dirty Conditions,E12 Illegal Dumping Surveillance,Sidewalk,11377,WOODSIDE,Unspecified,,,,,,,,,,,,,,
A - Queens,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,11102,ASTORIA,Unspecified,,,,,,,,,,,,,,
BCC - Brooklyn North,Other Enforcement,E14 ASP/Restricted Parking,Sidewalk,11213,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q3_pctWhite,,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10033,NEW YORK,Unspecified,,,,,,,,,,,,,,
